name,location,date,info,lat,lon
2025 USA Powerlifting Brawl in the Falls,TX,2025-11-15,,31.054487,-97.563461
2025 USA Powerlifting Beer City Classic,MO,2025-11-15,,38.456085,-92.288368
2025 USA Powerlifting South Carolina State Championship,SC,2025-11-15,,33.856892,-80.945007
2025 USA Powerlifting Piney Woods Open,TX,2025-11-15,,31.054487,-97.563461
2025 USA Powerlifting South Dakota State Championships,SD,2025-11-15,,44.299782,-99.438828
USA Powerlifting 2025 Strong Island Open,NY,2025-11-15,,42.165726,-74.948051
2025 USA Powerlifting Gainsgiving Open,WI,2025-11-15,,44.268543,-89.616508
2025 USA Powerlifting Omni Infinite,CA,2025-11-15,,36.116203,-119.681564
2025 USA Powerlifting Beginner’s Brawl,OH,2025-11-15,,40.388783,-82.764915
2025 USA Powerlifting Collegiate Cup Series – Rhode Island,RI,2025-11-15,,41.680893,-71.51178
2025 USA Powerlifting Sincere Training Systems Classic IV,NY,2025-11-21,,42.165726,-74.948051
2025 USA Powerlifting Adaptive & EmpowerID Michigan State Championships,MI,2025-11-22,,43.326618,-84.536095
2025 USA Powerlifting Michigan State Championships: Primetime,MI,2025-11-22,,43.326618,-84.536095
2025 USA Powerlifting Massachusetts State Championships,MA,2025-11-22,,42.230171,-71.530106
2025 USA Powerlifting Pittsburgh Fall Classic,PA,2025-11-22,,40.590752,-77.209755
2025 USA Powerlifting Collegiate Cup Series – Nebraska,NE,2025-11-22,,41.12537,-98.268082
2025 USA Powerlifting Virginia Holiday Havoc,VA,2025-11-22,,37.769337,-78.169968
2025 USA Powerlifting Whiz Wit Classic,PA,2025-11-22,,40.590752,-77.209755
2025 USA Powerlifting Texas Collegiate State Championship,TX,2025-11-22,,31.054487,-97.563461
2025 USA Powerlifting Idaho State Championships,ID,2025-11-22,,44.240459,-114.478828
2025 USA Powerlifting Collegiate Cup Series – Lafayette,LA,2025-11-22,,31.169546,-91.867805
2025 USA Powerlifting Michigan State Championships,MI,2025-11-22,,43.326618,-84.536095
2025 USA Powerlifting New Jersey Iron Gobbler,NJ,2025-11-23,,40.298904,-74.521011
2025 USA Powerlifting Virginia Collegiate and High School State Championships,VA,2025-11-29,,37.769337,-78.169968
USA Powerlifting 2025 Intrepid Classic,NY,2025-12-06,,42.165726,-74.948051
2025 USA Powerlifting Virginia Winter Wrecker,VA,2025-12-06,,37.769337,-78.169968
2025 USA Powerlifting Strong Hawk Invitational,LA,2025-12-06,,31.169546,-91.867805
2025 USA Powerlifting Maryland State Bench & Deadlift,MD,2025-12-06,,39.063946,-76.802101
2025 USA Powerlifting Texas Open,TX,2025-12-06,,31.054487,-97.563461
2025 USA Powerlifting West Virginia State Championship,WV,2025-12-06,,38.491226,-80.954453
2025 USA Powerlifting Southern Collegiate Cup Series,TX,2025-12-06,,31.054487,-97.563461
2025 USA Powerlifting Winter Primetime !MEET FULL!!,PA,2025-12-06,,40.590752,-77.209755
2025 USA Powerlifting Collegiate Cup Series – Colorado,CO,2025-12-06,,39.059811,-105.311104
2025 USA Powerlifting Ohio State Championship as presented by A7,OH,2025-12-06,,40.388783,-82.764915
2025 USA Powerlifting Adelante Winter Heat,NJ,2025-12-07,,40.298904,-74.521011
2025 USA Powerlifting Open & Masters World Championships,,2025-12-11,,0,0
2025 International Drug Free Powerlifting Association Open & Masters World Championships,,2025-12-11,,0,0
2025 USA Powerlifting Barbell Brigade Winter Finale,CA,2025-12-13,,36.116203,-119.681564
2025 USA Powerlifting Alamo City Rookie Rumble,TX,2025-12-13,,31.054487,-97.563461
2025 USA Powerlifting Mana Finale,CA,2025-12-13,,36.116203,-119.681564
2025 USA Powerlifting Swamp Showdown,FL,2025-12-13,,27.766279,-81.686783
2025 USA Powerlifting Continue Climbing Classic,TX,2025-12-13,,31.054487,-97.563461
2025 USA Powerlifting Battle of the Frozen Tundra,MN,2025-12-13,,45.694454,-93.900192
2025 USA Powerlifting: Krampus is Coming to Town Vol. 4,CO,2025-12-13,,39.059811,-105.311104
2025 USA Powerlifting Long Island Winter Showdown II,NY,2025-12-13,,42.165726,-74.948051
2025 USA Powerlifting Just Fight Classic,NV,2025-12-14,,38.313515,-117.055374
2025 USA Powerlifting Liftmas Open,WI,2025-12-20,,44.268543,-89.616508
2025 USA Powerlifting Klash at Kingdom Vol.III,TX,2025-12-20,,31.054487,-97.563461
2025 USA Powerlifting Midnight eclipse,IN,2025-12-20,,39.849426,-86.258278
2025 USA Powerlifting Cougar Classic,TX,2025-12-20,,31.054487,-97.563461
2025 USA Powerlifting Southern Arizona Showdown II,AZ,2025-12-20,,33.729759,-111.431221
2025 USA Powerlifting NK Nederland,,2025-12-21,,0,0
2025 USA Powerlifting Rookies and OGs,TX,2025-12-21,,31.054487,-97.563461
